OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
225,225,5/15/2021 5:00:00 AM,200,2021,5/15/2021 5:00:00 AM,2300,2021,Evening,Saturday,6,Greenbelt SouthEast,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050126.04,MINOR,379586.767100006,5026006.51589946
226,226,5/15/2021 5:00:00 AM,1300,2021,5/15/2021 5:00:00 AM,1300,2021,Afternoon,Saturday,6,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,,373752.738100004,5026181.52709946
227,227,5/18/2021 5:00:00 AM,600,2021,5/18/2021 5:00:00 AM,500,2021,Night,Tuesday,2,Hunt Club - Ottawa Airport,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050002.06,MAJOR,368809.437000003,5022148.30709946
228,228,5/26/2021 5:00:00 AM,200,2021,5/26/2021 5:00:00 AM,2000,2021,Evening,Wednesday,3,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.03,FATAL,373748.726000003,5032387.57399946
229,229,5/28/2021 5:00:00 AM,1800,2021,5/28/2021 5:00:00 AM,1800,2021,Evening,Friday,5,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.04,MAJOR,370700.504100003,5030197.50849946
230,230,5/29/2021 5:00:00 AM,500,2021,5/29/2021 5:00:00 AM,500,2021,Night,Saturday,6,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,31,East,Ward 1 - Orléans East-Cumberland,Matthew Luloff,5050170.09,,383342.752100009,5037731.57699946
231,231,5/30/2021 5:00:00 AM,200,2021,5/30/2021 5:00:00 AM,2100,2021,Evening,Sunday,7,Braemar Park - Bel Air Heights - Copeland Park,17,West,Ward 8 - College,Laine Johnson,5050026.00,MAJOR,362211.394000002,5024366.57999946
232,232,5/30/2021 5:00:00 AM,0,2021,5/30/2021 5:00:00 AM,0,2021,Night,Sunday,7,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,FATAL,374645.380700005,5031325.75179946
233,233,6/6/2021 5:00:00 AM,200,2021,6/6/2021 5:00:00 AM,2200,2021,Evening,Sunday,7,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.10,,371033.726000004,5026354.53099946
234,234,6/11/2021 5:00:00 AM,400,2021,6/11/2021 5:00:00 AM,400,2021,Night,Friday,5,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050008.00,,373561.425200006,5027959.15289946
235,235,6/12/2021 5:00:00 AM,1900,2021,6/12/2021 5:00:00 AM,1600,2021,Afternoon,Saturday,6,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,MAJOR,380383.747900008,5034666.56899946
236,236,6/13/2021 5:00:00 AM,200,2021,6/13/2021 5:00:00 AM,2100,2021,Evening,Sunday,7,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,,370330.460000003,5033208.44009946
237,237,6/14/2021 5:00:00 AM,0,2021,6/14/2021 5:00:00 AM,0,2021,Night,Monday,1,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.03,MAJOR,373791.724900004,5032732.57699946
238,238,6/23/2021 5:00:00 AM,200,2021,6/23/2021 5:00:00 AM,200,2021,Night,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,,371033.726000004,5026354.53099946
239,239,7/3/2021 5:00:00 AM,0,2021,7/2/2021 5:00:00 AM,2300,2021,Evening,Friday,5,Sandy Hill - Ottawa East,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050051.00,MAJOR,369068.751200003,5031986.47279946
240,240,7/5/2021 5:00:00 AM,100,2021,7/4/2021 5:00:00 AM,100,2021,Night,Sunday,7,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050053.00,MAJOR,368824.782200002,5032744.66089946
241,241,7/10/2021 5:00:00 AM,1700,2021,7/10/2021 5:00:00 AM,1700,2021,Afternoon,Saturday,6,Vanier South,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050102.00,NONE,370927.712900003,5033170.58789946
242,242,7/13/2021 5:00:00 AM,500,2021,7/13/2021 5:00:00 AM,500,2021,Night,Tuesday,2,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,NONE,373800.548700003,5029100.07909946
243,243,7/14/2021 5:00:00 AM,200,2021,7/14/2021 5:00:00 AM,2000,2021,Evening,Wednesday,3,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,NONE,371536.731000003,5023407.50899946
244,244,7/22/2021 5:00:00 AM,,2021,7/22/2021 5:00:00 AM,,2021,,Thursday,4,Cummings,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050061.00,NONE,371947.715100003,5033628.58989946
245,245,8/2/2021 5:00:00 AM,200,2021,8/2/2021 5:00:00 AM,2300,2021,Evening,Monday,1,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,MAJOR,364641.697000002,5026261.53209946
246,246,8/3/2021 5:00:00 AM,800,2021,8/3/2021 5:00:00 AM,800,2021,Morning,Tuesday,2,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,376519.727900006,5035506.59209946
247,247,8/9/2021 5:00:00 AM,1800,2021,8/9/2021 5:00:00 AM,1800,2021,Evening,Monday,1,Playfair Park - Lynda Park - Guildwood Estates,34,East,Ward 18 - Alta Vista,Marty Carr,5050007.01,MINOR,371462.724900004,5027872.54299946
248,248,8/10/2021 5:00:00 AM,200,2021,8/10/2021 5:00:00 AM,2000,2021,Evening,Tuesday,2,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,FATAL,368601.704900002,5032846.58899946
249,249,8/11/2021 5:00:00 AM,1900,2021,8/11/2021 5:00:00 AM,1900,2021,Evening,Wednesday,3,Osgoode,36,East,Ward 20 - Osgoode,George Darouze,5050191.01,,375930.738100005,5007700.38899946
250,250,8/19/2021 5:00:00 AM,1400,2021,8/19/2021 5:00:00 AM,1400,2021,Afternoon,Thursday,4,Iris,15,West,Ward 8 - College,Laine Johnson,5050026.00,,361384.511000001,5023827.50989946
251,251,8/21/2021 5:00:00 AM,300,2021,8/21/2021 5:00:00 AM,300,2021,Night,Saturday,6,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.07,,372980.967800004,5020081.92499946
252,252,8/26/2021 5:00:00 AM,200,2021,8/26/2021 5:00:00 AM,2100,2021,Evening,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.10,MAJOR,371119.726000003,5026146.53009946
253,253,8/26/2021 5:00:00 AM,1500,2021,8/26/2021 5:00:00 AM,1500,2021,Afternoon,Thursday,4,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.09,MAJOR,376189.675400006,5021345.91339946
254,254,8/30/2021 5:00:00 AM,0,2021,8/29/2021 5:00:00 AM,2100,2021,Evening,Sunday,7,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,MINOR,372592.914000004,5025136.16299946
255,255,9/6/2021 5:00:00 AM,100,2021,9/6/2021 5:00:00 AM,0,2021,Night,Monday,1,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,NONE,367943.703000002,5032442.58599946
256,256,9/6/2021 5:00:00 AM,200,2021,9/6/2021 5:00:00 AM,2200,2021,Evening,Monday,1,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050161.05,MAJOR,354754.627099999,5016013.43809946
257,257,9/7/2021 5:00:00 AM,1400,2021,9/7/2021 5:00:00 AM,1400,2021,Afternoon,Tuesday,2,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050161.05,,354754.627099999,5016013.43809946
258,258,9/8/2021 5:00:00 AM,1400,2021,8/18/2021 5:00:00 AM,0,2021,Night,Wednesday,3,New Barrhaven - New Development - Stonebridge,16,West,Ward 24 - Barrhaven East,Wilson Lo,5050141.10,,365409.384100003,5015667.40489946
259,259,9/10/2021 5:00:00 AM,200,2021,9/10/2021 5:00:00 AM,200,2021,Night,Friday,5,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050127.00,MAJOR,372869.064000004,5022435.56399946
260,260,9/15/2021 5:00:00 AM,200,2021,9/15/2021 5:00:00 AM,2200,2021,Evening,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,NONE,371424.680100004,5026591.75369946
261,261,9/16/2021 5:00:00 AM,200,2021,9/16/2021 5:00:00 AM,2100,2021,Evening,Thursday,4,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,NONE,374458.197100005,5028634.35969946
262,262,9/24/2021 5:00:00 AM,0,2021,9/24/2021 5:00:00 AM,0,2021,Night,Friday,5,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,MINOR,359958.912100002,5023772.65889946
263,263,9/26/2021 5:00:00 AM,400,2021,9/26/2021 5:00:00 AM,400,2021,Night,Sunday,7,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,NONE,372232.734000004,5023437.50899946
264,264,9/27/2021 5:00:00 AM,500,2021,9/27/2021 5:00:00 AM,500,2021,Night,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,NONE,372232.734000004,5023437.50899946
265,265,9/27/2021 5:00:00 AM,1800,2021,9/27/2021 5:00:00 AM,1800,2021,Evening,Monday,1,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,,360220.707700002,5023371.53939946
266,266,10/1/2021 5:00:00 AM,500,2021,10/1/2021 5:00:00 AM,500,2021,Night,Friday,5,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,375869.771000005,5034694.83809946
267,267,10/2/2021 5:00:00 AM,200,2021,10/2/2021 5:00:00 AM,2300,2021,Evening,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,NONE,371539.250400004,5032088.20749946
268,268,10/8/2021 5:00:00 AM,200,2021,10/8/2021 5:00:00 AM,2200,2021,Evening,Friday,5,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,,358675.700400002,5023773.35499946
269,269,10/10/2021 5:00:00 AM,1700,2021,10/10/2021 5:00:00 AM,1700,2021,Afternoon,Sunday,7,West Centertown,22,Central,Ward 14 - Somerset,Ariel Troster,5050042.00,,366981.155100002,5030237.84109946
270,270,10/20/2021 5:00:00 AM,1700,2021,10/20/2021 5:00:00 AM,1700,2021,Afternoon,Wednesday,3,Hintonburg - Mechanicsville,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050046.00,MAJOR,364790.851200002,5030097.34999946
271,271,10/29/2021 5:00:00 AM,1200,2021,10/29/2021 5:00:00 AM,1200,2021,Afternoon,Friday,5,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050038.00,MAJOR,367563.534200003,5031134.06259946
272,272,11/5/2021 5:00:00 AM,1600,2021,11/5/2021 5:00:00 AM,1600,2021,Afternoon,Friday,5,Civic Hospital-Central Park,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050034.00,MINOR,365657.700000002,5028517.55209946
273,273,11/22/2021 5:00:00 AM,800,2021,11/21/2021 5:00:00 AM,2200,2021,Evening,Sunday,7,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.03,,372733.004900004,5024218.70489946
274,274,12/6/2021 5:00:00 AM,300,2021,12/6/2021 5:00:00 AM,300,2021,Night,Monday,1,Iris,15,West,Ward 8 - College,Laine Johnson,5050026.00,MAJOR,361633.192900003,5023935.51399946
275,275,12/14/2021 5:00:00 AM,1900,2021,12/14/2021 5:00:00 AM,1900,2021,Evening,Tuesday,2,Hunt Club South Industrial,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,,366254.704900002,5021899.49589946
276,276,12/15/2021 5:00:00 AM,200,2021,12/15/2021 5:00:00 AM,2200,2021,Evening,Wednesday,3,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050102.00,MINOR,370426.710100003,5033462.59209946
277,277,12/18/2021 5:00:00 AM,100,2021,12/18/2021 5:00:00 AM,100,2021,Night,Saturday,6,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,368042.704100002,5032503.58709946
278,278,12/22/2021 5:00:00 AM,1900,2021,12/22/2021 5:00:00 AM,1900,2021,Evening,Wednesday,3,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,MAJOR,380526.747900006,5034753.56899946
279,279,12/22/2021 5:00:00 AM,700,2021,12/22/2021 5:00:00 AM,700,2021,Morning,Wednesday,3,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,368374.511000002,5032329.97399946
280,280,1/1/2022 5:00:00 AM,300,2022,1/1/2022 5:00:00 AM,300,2022,Night,Saturday,6,Orléans Chapel Hill South,31,East,Ward 19 - Orléans South-Navan,Catherine Kitts,5050125.11,,381220.595100008,5032655.08299946
281,281,1/2/2022 5:00:00 AM,1400,2022,1/2/2022 5:00:00 AM,900,2022,Morning,Sunday,7,Russell - Edwards,37,East,Ward 20 - Osgoode,George Darouze,5050190.01,MINOR,385848.46070001,5020858.82139946
282,282,1/7/2022 5:00:00 AM,1300,2022,1/7/2022 5:00:00 AM,1300,2022,Afternoon,Friday,5,Hunt Club South Industrial,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,,367388.339800004,5022365.06419946
283,283,1/15/2022 5:00:00 AM,200,2022,1/15/2022 5:00:00 AM,2200,2022,Evening,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,MAJOR,371129.715900003,5032044.57699946
284,284,2/2/2022 5:00:00 AM,200,2022,2/2/2022 5:00:00 AM,2100,2022,Evening,Wednesday,3,Woodroffe - Lincoln Heights,14,West,Ward 7 - Bay,Theresa Kavanagh,5050031.00,MAJOR,361293.882300001,5026223.88009946
285,285,2/19/2022 5:00:00 AM,200,2022,2/19/2022 5:00:00 AM,200,2022,Night,Saturday,6,Civic Hospital-Central Park,21,Central,Ward 16 - River,Riley Brockington,5050020.01,MAJOR,366425.704900002,5026090.53099946
286,286,2/21/2022 5:00:00 AM,1800,2022,2/21/2022 5:00:00 AM,1800,2022,Evening,Monday,1,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,FATAL,372676.535400005,5025829.62619946
287,287,2/23/2022 5:00:00 AM,200,2022,2/23/2022 5:00:00 AM,2200,2022,Evening,Wednesday,3,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,375869.771000005,5034694.83809946
288,288,2/24/2022 5:00:00 AM,1000,2022,2/23/2022 5:00:00 AM,2200,2022,Evening,Wednesday,3,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,375617.724100005,5035425.59509946
289,289,3/5/2022 5:00:00 AM,1800,2022,3/5/2022 5:00:00 AM,1800,2022,Evening,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,NONE,371200.957000004,5032202.81999946
290,290,3/22/2022 5:00:00 AM,200,2022,3/22/2022 5:00:00 AM,2100,2022,Evening,Tuesday,2,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,MAJOR,364789.697000001,5026653.53589946
291,291,4/4/2022 5:00:00 AM,1600,2022,4/4/2022 5:00:00 AM,1600,2022,Afternoon,Monday,1,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050007.02,MINOR,370838.878900005,5026881.08409946
292,292,4/6/2022 5:00:00 AM,900,2022,4/6/2022 5:00:00 AM,,2022,,Wednesday,3,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,31,East,Ward 1 - Orléans East-Cumberland,Matthew Luloff,5050170.09,,383342.752100009,5037731.57699946
293,293,4/19/2022 5:00:00 AM,200,2022,4/19/2022 5:00:00 AM,200,2022,Night,Tuesday,2,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050103.00,NONE,370778.711000004,5033668.59289946
294,294,4/19/2022 5:00:00 AM,500,2022,4/19/2022 5:00:00 AM,500,2022,Night,Tuesday,2,Vanier South,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,MAJOR,370340.711000004,5032924.58709946
295,295,4/25/2022 5:00:00 AM,200,2022,4/25/2022 5:00:00 AM,2200,2022,Evening,Monday,1,Greenbelt - Mer Bleue,31,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050125.03,MAJOR,378311.751000006,5030274.54599946
296,296,5/1/2022 5:00:00 AM,1600,2022,5/1/2022 5:00:00 AM,1600,2022,Afternoon,Sunday,7,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.03,,375022.721100005,5035730.59999946
297,297,5/2/2022 5:00:00 AM,200,2022,5/2/2022 5:00:00 AM,2100,2022,Evening,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,MINOR,372210.735100005,5022640.50299946
298,298,5/3/2022 5:00:00 AM,0,2022,5/3/2022 5:00:00 AM,0,2022,Night,Tuesday,2,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MINOR,367943.703000002,5032442.58599946
299,299,5/8/2022 5:00:00 AM,1300,2022,5/8/2022 5:00:00 AM,1300,2022,Afternoon,Sunday,7,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050009.00,,373575.732900005,5028848.54709946
300,300,5/11/2022 5:00:00 AM,200,2022,5/11/2022 5:00:00 AM,2300,2022,Evening,Wednesday,3,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,,371636.104300002,5023302.60429946
301,301,5/12/2022 5:00:00 AM,1300,2022,5/12/2022 5:00:00 AM,1300,2022,Afternoon,Thursday,4,Glebe - Dows Lake,22,Central,Ward 14 - Somerset,Ariel Troster,5050036.00,MINOR,367530.938200001,5029872.05279946
302,302,5/15/2022 5:00:00 AM,1000,2022,5/15/2022 5:00:00 AM,1000,2022,Morning,Sunday,7,Billings Bridge - Alta Vista,34,East,Ward 18 - Alta Vista,Marty Carr,5050005.00,,369811.575500002,5027687.54909946
303,303,6/7/2022 5:00:00 AM,200,2022,6/7/2022 5:00:00 AM,2000,2022,Evening,Tuesday,2,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,,373800.548700003,5029100.07909946
304,304,6/8/2022 5:00:00 AM,200,2022,6/8/2022 5:00:00 AM,2100,2022,Evening,Wednesday,3,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.07,MAJOR,373933.744900005,5020393.48709946
305,305,6/22/2022 5:00:00 AM,1800,2022,6/22/2022 5:00:00 AM,1800,2022,Evening,Wednesday,3,Beacon Hill South - Cardinal Heights,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050121.01,MAJOR,374167.721900005,5034312.58989946
306,306,6/23/2022 5:00:00 AM,200,2022,6/23/2022 5:00:00 AM,2300,2022,Evening,Thursday,4,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,,375379.735100005,5031470.56299946
307,307,7/5/2022 5:00:00 AM,1200,2022,7/5/2022 5:00:00 AM,1200,2022,Afternoon,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.10,FATAL,370828.031800002,5025379.67699946
308,308,7/6/2022 5:00:00 AM,1300,2022,7/6/2022 5:00:00 AM,1300,2022,Afternoon,Wednesday,3,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MAJOR,359555.489000001,5024438.92409946
309,309,7/8/2022 5:00:00 AM,1600,2022,7/8/2022 5:00:00 AM,1600,2022,Afternoon,Friday,5,Manotick East,36,East,Ward 20 - Osgoode,George Darouze,5050191.01,MINOR,374750.738900004,5010524.41209946
310,310,7/16/2022 5:00:00 AM,200,2022,7/15/2022 5:00:00 AM,2300,2022,Evening,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,FATAL,368482.704900003,5032771.58789946
311,311,7/16/2022 5:00:00 AM,1300,2022,7/1/2022 5:00:00 AM,1300,2022,Afternoon,Friday,5,Galetta,11,West,Ward 5 - West Carleton-March,Clarke Kelly,5050301.00,MINOR,323368.5329,5033781.01509946
312,312,7/18/2022 5:00:00 AM,1500,2022,7/18/2022 5:00:00 AM,1500,2022,Afternoon,Monday,1,Billings Bridge - Alta Vista,34,East,Ward 18 - Alta Vista,Marty Carr,5050005.00,MAJOR,369725.718100003,5027527.54189946
313,313,7/21/2022 5:00:00 AM,200,2022,7/21/2022 5:00:00 AM,2200,2022,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,MAJOR,373775.738100005,5026287.52789946
314,314,7/23/2022 5:00:00 AM,1500,2022,7/19/2022 5:00:00 AM,2300,2022,Evening,Tuesday,2,Iris,15,West,Ward 8 - College,Laine Johnson,5050026.00,,361384.511000001,5023827.50989946
315,315,7/31/2022 5:00:00 AM,200,2022,7/31/2022 5:00:00 AM,2200,2022,Evening,Sunday,7,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050060.00,,371333.019200003,5034330.97659946
316,316,8/9/2022 5:00:00 AM,1700,2022,8/9/2022 5:00:00 AM,1700,2022,Afternoon,Tuesday,2,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050133.00,,363829.670000002,5023634.51559946
317,317,8/12/2022 5:00:00 AM,500,2022,8/12/2022 5:00:00 AM,500,2022,Night,Friday,5,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,,368905.717000003,5025668.52709946
318,318,8/13/2022 5:00:00 AM,200,2022,8/13/2022 5:00:00 AM,200,2022,Night,Saturday,6,Glen Cairn - Kanata South Business Park,13,West,Ward 23 - Kanata South,Allan Hubley,5050162.02,MAJOR,353059.6181,5017267.45009946
319,319,8/16/2022 5:00:00 AM,1800,2022,8/16/2022 5:00:00 AM,1800,2022,Evening,Tuesday,2,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.01,,373001.729000006,5029506.55289946
320,320,8/26/2022 5:00:00 AM,400,2022,8/26/2022 5:00:00 AM,400,2022,Night,Friday,5,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,367866.786200002,5032275.26129946
321,321,8/27/2022 5:00:00 AM,1700,2022,8/27/2022 5:00:00 AM,1700,2022,Afternoon,Saturday,6,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,,364382.695900001,5026190.53209946
322,322,8/27/2022 5:00:00 AM,1900,2022,8/27/2022 5:00:00 AM,1900,2022,Evening,Saturday,6,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.10,NONE,370828.031800002,5025379.67699946
323,323,8/29/2022 5:00:00 AM,1700,2022,8/29/2022 5:00:00 AM,1700,2022,Afternoon,Monday,1,West Centertown,22,Central,Ward 14 - Somerset,Ariel Troster,5050041.00,MAJOR,366498.753600003,5030471.98999946
324,324,9/2/2022 5:00:00 AM,200,2022,9/2/2022 5:00:00 AM,2300,2022,Evening,Friday,5,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.01,MINOR,373001.729000006,5029506.55289946
325,325,9/5/2022 5:00:00 AM,200,2022,9/5/2022 5:00:00 AM,2300,2022,Evening,Monday,1,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.03,MINOR,373336.740000005,5023445.50899946
326,326,9/11/2022 5:00:00 AM,1000,2022,9/11/2022 5:00:00 AM,1000,2022,Morning,Sunday,7,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,,372012.397500004,5026347.47519946
327,327,9/19/2022 5:00:00 AM,1800,2022,9/19/2022 5:00:00 AM,1800,2022,Evening,Monday,1,CFB Rockcliffe-NRC,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050060.00,,371754.712900002,5034344.59699946
328,328,9/26/2022 5:00:00 AM,200,2022,9/26/2022 5:00:00 AM,2100,2022,Evening,Monday,1,Orléans North West,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050124.04,NONE,379238.673200007,5037375.56439946
329,329,10/5/2022 5:00:00 AM,200,2022,10/5/2022 5:00:00 AM,2000,2022,Evening,Wednesday,3,Orléans Queenswood Heights,31,East,Ward 1 - Orléans East-Cumberland,Matthew Luloff,5050170.03,MINOR,383056.750100007,5037933.57999946
330,330,10/10/2022 5:00:00 AM,200,2022,10/10/2022 5:00:00 AM,200,2022,Night,Monday,1,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,367943.703000002,5032442.58599946
331,331,10/11/2022 5:00:00 AM,1500,2022,10/11/2022 5:00:00 AM,1500,2022,Afternoon,Tuesday,2,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,,368447.704100004,5033226.59289946
332,332,10/12/2022 5:00:00 AM,1700,2022,10/12/2022 5:00:00 AM,1700,2022,Afternoon,Wednesday,3,Russell - Edwards,37,East,Ward 20 - Osgoode,George Darouze,5050126.04,NONE,380306.780000008,5020069.48109946
333,333,10/16/2022 5:00:00 AM,100,2022,10/16/2022 5:00:00 AM,100,2022,Night,Sunday,7,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050104.00,,369440.528800003,5033804.48319946
334,334,10/22/2022 5:00:00 AM,300,2022,10/22/2022 5:00:00 AM,300,2022,Night,Saturday,6,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,368000.703000002,5032573.58709946
335,335,10/23/2022 5:00:00 AM,600,2022,10/23/2022 5:00:00 AM,600,2022,Morning,Sunday,7,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,,367943.703000002,5032442.58599946
