OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
50,50,7/3/2018 5:00:00 AM,200,2018,7/3/2018 5:00:00 AM,2200,2018,Evening,Tuesday,2,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.04,,372195.573100005,5024135.32799946
51,51,7/5/2018 5:00:00 AM,200,2018,7/5/2018 5:00:00 AM,700,2018,Morning,Thursday,4,Hunt Club East - Western Community,35,East,Ward 16 - River,Riley Brockington,5050002.05,,370029.696500003,5023278.55909946
52,52,7/5/2018 5:00:00 AM,200,2018,7/5/2018 5:00:00 AM,2300,2018,Evening,Thursday,4,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,NONE,372747.534000005,5025381.34299946
53,53,7/7/2018 5:00:00 AM,200,2018,7/7/2018 5:00:00 AM,2300,2018,Evening,Saturday,6,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,,373300.747700004,5025082.85509946
54,54,7/11/2018 5:00:00 AM,0,2018,7/11/2018 5:00:00 AM,0,2018,Night,Wednesday,3,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050104.00,,369301.647800004,5033687.53619946
55,55,8/4/2018 5:00:00 AM,900,2018,8/4/2018 5:00:00 AM,900,2018,Morning,Saturday,6,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,,371501.727900005,5026253.53009946
56,56,8/19/2018 5:00:00 AM,400,2018,8/19/2018 5:00:00 AM,400,2018,Night,Sunday,7,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,,364916.1569,5027526.15609946
57,57,8/22/2018 5:00:00 AM,400,2018,8/22/2018 5:00:00 AM,400,2018,Night,Wednesday,3,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,,373563.007000003,5025875.16209946
58,58,8/26/2018 5:00:00 AM,0,2018,8/26/2018 5:00:00 AM,0,2018,Night,Sunday,7,Hunt Club Woods - Quintarra - Revelstoke,35,East,Ward 16 - River,Riley Brockington,5050002.06,NONE,368281.715100002,5022891.50489946
59,59,9/1/2018 5:00:00 AM,100,2018,9/1/2018 5:00:00 AM,100,2018,Night,Saturday,6,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,MINOR,371608.731000004,5024096.51399946
60,60,9/21/2018 5:00:00 AM,1200,2018,9/21/2018 5:00:00 AM,1100,2018,Morning,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050053.00,MINOR,368511.706000002,5032413.58489946
61,61,9/22/2018 5:00:00 AM,1900,2018,9/22/2018 5:00:00 AM,1900,2018,Evening,Saturday,6,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,NONE,371199.498400002,5024142.70239946
62,62,9/25/2018 5:00:00 AM,200,2018,9/25/2018 5:00:00 AM,2100,2018,Evening,Tuesday,2,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MINOR,375045.401100003,5026242.21399946
63,63,10/6/2018 5:00:00 AM,1700,2018,10/6/2018 5:00:00 AM,1700,2018,Afternoon,Saturday,6,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,MINOR,364844.6981,5026809.53699946
64,64,10/16/2018 5:00:00 AM,100,2018,10/16/2018 5:00:00 AM,0,2018,Night,Tuesday,2,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,MAJOR,359591.847900002,5023346.69399946
65,65,10/16/2018 5:00:00 AM,1800,2018,10/16/2018 5:00:00 AM,1800,2018,Evening,Tuesday,2,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,,371636.104300002,5023302.60429946
66,66,10/20/2018 5:00:00 AM,900,2018,10/20/2018 5:00:00 AM,100,2018,Night,Saturday,6,Barrhaven,16,West,Ward 3 - Barrhaven West,David Hill,5050140.05,,363746.684899999,5015016.43399946
67,67,10/26/2018 5:00:00 AM,100,2018,10/26/2018 5:00:00 AM,100,2018,Night,Friday,5,Overbrook - McArthur,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,NONE,369717.200000004,5032956.36789946
68,68,10/29/2018 5:00:00 AM,200,2018,10/29/2018 5:00:00 AM,2300,2018,Evening,Monday,1,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MAJOR,359555.489000001,5024438.92409946
69,69,10/29/2018 5:00:00 AM,300,2018,10/29/2018 5:00:00 AM,300,2018,Night,Monday,1,Hintonburg - Mechanicsville,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050046.00,NONE,365138.452100002,5029890.54109946
70,70,10/29/2018 5:00:00 AM,900,2018,10/29/2018 5:00:00 AM,900,2018,Morning,Monday,1,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.00,MINOR,367200.704100003,5030422.56789946
71,71,11/8/2018 5:00:00 AM,1800,2018,11/8/2018 5:00:00 AM,1800,2018,Evening,Thursday,4,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,,371129.715900003,5032044.57699946
72,72,11/13/2018 5:00:00 AM,1900,2018,11/13/2018 5:00:00 AM,1900,2018,Evening,Tuesday,2,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,,372976.206000005,5025902.63889946
73,73,11/21/2018 5:00:00 AM,200,2018,11/21/2018 5:00:00 AM,2200,2018,Evening,Wednesday,3,Billings Bridge - Alta Vista,34,East,Ward 17 - Capital,Shawn Menard,5050004.00,NONE,369015.965000001,5027429.15499946
74,74,11/23/2018 5:00:00 AM,1800,2018,11/23/2018 5:00:00 AM,1800,2018,Evening,Friday,5,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,FATAL,370852.239900004,5024838.49869946
75,75,11/27/2018 5:00:00 AM,1500,2018,11/10/2018 5:00:00 AM,400,2018,Night,Saturday,6,Carson Grove - Carson Meadows,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050062.01,NONE,373256.718900004,5034045.58989946
