OBJECTID,Year,Reported Date,Occurred Date,Weekday,Offence Category,Sector,Division,Neighbourhood,Ward,Councillor,x,y
50,2024,9/15/2024 5:00:00 AM,9/15/2024 5:00:00 AM,Monday,Murder 1St Dgree,23    ,Central             ,Centretown                                                                                          ,Ward 14 - Somerset,Ariel Troster,366941.703000004,5030856.57209946
51,2020,7/27/2020 5:00:00 AM,7/27/2020 5:00:00 AM,Tuesday,Murder 1St Dgree,32    ,East                ,Carson Grove - Carson Meadows                                                                       ,Ward 13 - Rideau-Rockcliffe,Rawlson King,372741.361600004,5034102.57509946
52,2021,5/26/2021 5:00:00 AM,5/26/2021 5:00:00 AM,Thursday,Murder 1St Dgree,32    ,East                ,Cummings                                                                                            ,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,373748.726000003,5032387.57399946
53,2021,3/7/2021 5:00:00 AM,3/7/2021 5:00:00 AM,Monday,Murder 1St Dgree,12    ,West                ,Richmond                                                                                            ,Ward 21 - Rideau-Jock,David Brown,358676.618900001,5003930.32489946
54,2024,8/25/2024 5:00:00 AM,8/25/2024 5:00:00 AM,Monday,Murder 2Nd Dgree,11    ,West                ,Corkery                                                                                             ,Ward 5 - West Carleton-March,Clarke Kelly,343753.527900001,5012367.43889946
55,2020,4/13/2020 5:00:00 AM,4/10/2020 5:00:00 AM,Saturday,Murder 1St Dgree,14    ,West                ,Whitehaven - Queensway Terrace North                                                                ,Ward 7 - Bay,Theresa Kavanagh,359890.284100001,5023986.34299946
56,2019,1/13/2019 5:00:00 AM,1/10/2019 5:00:00 AM,Friday,Murder 2Nd Dgree,14    ,West                ,Whitehaven - Queensway Terrace North                                                                ,Ward 7 - Bay,Theresa Kavanagh,359558.671000002,5024103.51209946
57,2020,8/21/2020 5:00:00 AM,8/21/2020 5:00:00 AM,Saturday,Murder 1St Dgree,14    ,West                ,Whitehaven - Queensway Terrace North                                                                ,Ward 7 - Bay,Theresa Kavanagh,359944.677000001,5024259.01059946
58,2022,1/3/2022 5:00:00 AM,1/3/2022 5:00:00 AM,Tuesday,Murder 2Nd Dgree,33    ,East                ,Hawthorne Meadows - Sheffield Glen                                                                  ,Ward 18 - Alta Vista,Marty Carr,373800.548700003,5029100.07909946
59,2018,5/5/2018 5:00:00 AM,5/5/2018 5:00:00 AM,Sunday,Murder 1St Dgree,33    ,East                ,Hawthorne Meadows - Sheffield Glen                                                                  ,Ward 18 - Alta Vista,Marty Carr,373800.548700003,5029100.07909946
60,2024,4/19/2024 5:00:00 AM,4/19/2024 5:00:00 AM,Saturday,Murder 2Nd Dgree,25    ,Central             ,Rockcliffe - Manor Park                                                                             ,Ward 13 - Rideau-Rockcliffe,Rawlson King,370365.547100004,5034777.29399946
61,2023,9/2/2023 5:00:00 AM,9/2/2023 5:00:00 AM,Sunday,Murder 1St Dgree,35    ,East                ,Hunt Club - Ottawa Airport                                                                          ,Ward 10 - Gloucester-Southgate,Jessica Bradley,370029.761900004,5022883.40899946
62,2023,9/2/2023 5:00:00 AM,9/2/2023 5:00:00 AM,Sunday,Murder 1St Dgree,35    ,East                ,Hunt Club - Ottawa Airport                                                                          ,Ward 10 - Gloucester-Southgate,Jessica Bradley,370029.761900004,5022883.40899946
63,2020,2/3/2020 5:00:00 AM,2/2/2020 5:00:00 AM,Monday,Murder 2Nd Dgree,32    ,East                ,Cummings                                                                                            ,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,373014.728500004,5032119.54829946
64,2024,5/2/2024 5:00:00 AM,5/2/2024 5:00:00 AM,Friday,Murder 1St Dgree,32    ,East                ,Cummings                                                                                            ,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,372421.149100004,5032447.74059946
65,2022,10/31/2022 5:00:00 AM,10/31/2022 5:00:00 AM,Tuesday,Murder 1St Dgree,32    ,East                ,Cummings                                                                                            ,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,372412.720000004,5032504.57889946
66,2019,9/8/2019 5:00:00 AM,9/8/2019 5:00:00 AM,Monday,Murder 2Nd Dgree,25    ,Central             ,Overbrook - McArthur                                                                                ,Ward 13 - Rideau-Rockcliffe,Rawlson King,370744.715100003,5031929.57699946
