OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
1253,2007,PONTIAC,MONTANA,Van,GRY,,Monday,N,Cummings,Ward 11 - Beacon Hill-Cyrville,Sector 32,7/9/2018 5:00:00 AM,7/9/2018 5:00:00 AM,2018,"CITY PARK DR, 170M SOUTH OF OGILVIE RD",East,5050122.03,Afternoon,Tim Tierney,1900,1700,374262.742,5032848.9805
1254,2016,MAZDA,MAZDA 3,Automobile,BLU,,Sunday,Y,Hunt Club East - Western Community,Ward 16 - River,Sector 35,7/9/2018 5:00:00 AM,7/8/2018 5:00:00 AM,2018,"LILLICO DR, UPLANDS DR",East,5050002.05,Evening,Riley Brockington,1600,1900,370029.8888,5023277.556
1255,2017,MERCEDES-BENZ,,Automobile,BRN,113000,Tuesday,Y,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,7/10/2018 5:00:00 AM,7/10/2018 5:00:00 AM,2018,"GOOSEBERRY PL, TWINFLOWER WAY",West,5050141.17,Afternoon,Wilson Lo,1300,1300,364758.9536,5016517.7389
1256,2007,"HONDA/AMERICAN HONDA MOTOR CO.,",ACCORD,Automobile,SIL,1500,Monday,Y,Vanier South,Ward 13 - Rideau-Rockcliffe,Sector 25,7/10/2018 5:00:00 AM,7/9/2018 5:00:00 AM,2018,"ST. LAURENT BLVD, GUY ST, RIDEAU SS",Central,5050061.00,Evening,Rawlson King,900,2000,371862.5193,5033043.1873
1257,2007,DODGE,CARAVAN,Automobile,SIL,,Tuesday,Y,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,7/10/2018 5:00:00 AM,7/10/2018 5:00:00 AM,2018,"FAIRMONT AVE, WELLINGTON ST",Central,5050046.00,Night,Jeff Leiper,500,500,365556.1966,5029693.5028
1258,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Automobile,GRY,50000,Tuesday,N,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,7/10/2018 5:00:00 AM,7/10/2018 5:00:00 AM,2018,"O'CONNOR ST, PATTERSON AVE",Central,5050036.00,Night,Shawn Menard,600,100,368401.7038,5030128.9607
1259,2017,HYUNDAI,SANTA FE,Suv,BLK,,Tuesday,Y,Katimavik - Hazeldean,Ward 23 - Kanata South,Sector 13,7/10/2018 5:00:00 AM,7/10/2018 5:00:00 AM,2018,"CLARKSON CRES, CLARKSON CRES, CLARKSON CRES",West,5050160.04,Night,Allan Hubley,900,0,353526.8191,5018610.4602
1260,2017,LEXUS,,Suv,BLK,,Monday,N,Centretown,Ward 14 - Somerset,Sector 23,7/10/2018 5:00:00 AM,7/9/2018 5:00:00 AM,2018,"LEWIS ST, CARTIER ST",Central,5050037.02,Evening,Ariel Troster,700,2200,368428.9008,5031107.5686
1261,2018,CHEVROLET,SILVERADO,Truck,BLK,50000,Wednesday,Y,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Sector 35,7/10/2018 5:00:00 AM,7/4/2018 5:00:00 AM,2018,"AIRPORT PARKWAY PRIV, TRACKER PRIV",East,5050127.00,Afternoon,Jessica Bradley,1500,1500,370343.1152,5020748.3233
1262,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CAMRY,Automobile,SIL,,Monday,Y,Orléans Chapel Hill,Ward 2 - Orléans West-Innes,Sector 31,7/10/2018 5:00:00 AM,7/9/2018 5:00:00 AM,2018,"FORESTCREST ST, GREENRIDGE ST",East,5050125.07,Evening,Laura Dudas,700,2100,380273.4,5036327.9653
1263,2014,MERCEDES-BENZ,,Automobile,GRY,,Wednesday,Y,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,7/11/2018 5:00:00 AM,7/11/2018 5:00:00 AM,2018,"WILD IRIS AVE, MEANDERING BROOK DR",East,5050123.04,Morning,Jessica Bradley,1300,800,372848.4089,5022837.6509
1264,,,,Other,,,Wednesday,N,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sector 17,7/12/2018 5:00:00 AM,7/11/2018 5:00:00 AM,2018,"ATTWOOD CRES W, DEER PARK RD W",West,5050132.00,Evening,Sean Devine,1000,1900,366172.8971,5025334.5216
1265,2017,FORD,TAURUS,Automobile,WHI,,Wednesday,N,Emerald Woods - Sawmill Creek,Ward 10 - Gloucester-Southgate,Sector 35,7/12/2018 5:00:00 AM,5/2/2018 5:00:00 AM,2018,"ALBION RD, DES MESANGES DR",East,5050123.01,Morning,Jessica Bradley,800,800,371989.9249,5024018.5096
1266,2008,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,BLU,,Wednesday,N,Bayshore,Ward 7 - Bay,Sector 14,7/12/2018 5:00:00 AM,7/11/2018 5:00:00 AM,2018,"BAYSHORE DR, BAYSHORE CS",West,5050138.00,Evening,Theresa Kavanagh,1300,2000,359142.6108,5023737.9584
1267,2019,DODGE,CARAVAN,Automobile,BLK,,Friday,Y,Centretown,Ward 14 - Somerset,Sector 23,7/13/2018 5:00:00 AM,7/13/2018 5:00:00 AM,2018,"KENT ST, MCLEOD ST",Central,5050039.00,Evening,Ariel Troster,200,2000,367788.734,5030392.7852
1268,,,,Motorcycle,BLUWHI,,Thursday,Y,Vanier South,Ward 12 - Rideau-Vanier,Sector 25,7/13/2018 5:00:00 AM,7/12/2018 5:00:00 AM,2018,"BLAKE BLVD, LACASSE AVE",Central,5050100.00,Evening,Stéphanie Plante,1100,2000,370786.9054,5033017.5823
1269,2001,"TOYOTA/ TOYOTA MOTOR CO., LTD.",ECHO,Automobile,DGR,,Friday,Y,West Centertown,Ward 14 - Somerset,Sector 22,7/13/2018 5:00:00 AM,7/13/2018 5:00:00 AM,2018,"GLADSTONE AVE, CAMBRIDGE ST E",Central,5050042.00,Morning,Ariel Troster,700,700,367068.0285,5030035.149
1270,2010,AUDI,A4,Automobile,GRY,,Thursday,Y,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,7/13/2018 5:00:00 AM,7/12/2018 5:00:00 AM,2018,"LORRY GREENBERG DR, MARGRAVE AVE",East,5050001.05,Evening,Jessica Bradley,800,2200,372619.387,5025287.6946
1271,2002,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,BLK,,Friday,Y,Vanier South,Ward 12 - Rideau-Vanier,Sector 25,7/13/2018 5:00:00 AM,7/13/2018 5:00:00 AM,2018,"CYR AVE, GLADU ST",Central,5050101.00,Morning,Stéphanie Plante,700,700,370348.9036,5032779.5802
1272,2008,"HONDA/AMERICAN HONDA MOTOR CO.,",ACCORD,Automobile,BLK,,Friday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 16 - River,Sector 34,7/13/2018 5:00:00 AM,7/13/2018 5:00:00 AM,2018,"ALBION RD, HEATHERINGTON RD",East,5050001.10,Night,Riley Brockington,1300,100,371119.9183,5026145.5265
1273,2008,BMW,535 SERIES,Automobile,BLK,,Saturday,Y,Carson Grove - Carson Meadows,Ward 11 - Beacon Hill-Cyrville,Sector 32,7/14/2018 5:00:00 AM,7/14/2018 5:00:00 AM,2018,"OGILVIE RD, BATHGATE DR, CITYPARK DR W",East,5050122.03,Afternoon,Tim Tierney,1500,1500,373828.9169,5032799.5733
1274,2017,VOLKSWAGEN,PASSAT,Automobile,WHI,,Sunday,Y,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,7/15/2018 5:00:00 AM,7/15/2018 5:00:00 AM,2018,"RIVER RD, RYEBURN DR",East,5050126.05,Morning,Steve Desroches,1800,1000,368049.9045,5016304.4492
1275,1999,FORD,ECONOLINE E150,Van,WHI,1500,Saturday,Y,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,7/15/2018 5:00:00 AM,7/14/2018 5:00:00 AM,2018,"CANOTEK RD, RAINBOW ST",East,5050120.02,Afternoon,Tim Tierney,1700,1700,376228.9196,5035169.5846
1276,2015,HYUNDAI,ELANTRA,Automobile,BLK,,Sunday,Y,Constance Bay,Ward 5 - West Carleton-March,Sector 11,7/16/2018 5:00:00 AM,7/15/2018 5:00:00 AM,2018,"BAYVIEW DR, SPINNAKER WAY",West,5050302.00,Morning,Clarke Kelly,700,700,335839.6017,5039975.4941
1277,2006,FORD,,Automobile,GRY,,Sunday,Y,Glen Cairn - Kanata South Business Park,Ward 23 - Kanata South,Sector 13,7/16/2018 5:00:00 AM,7/15/2018 5:00:00 AM,2018,"RICKEY PL, MCKITRICK DR",West,5050162.02,Afternoon,Allan Hubley,900,1600,352813.8102,5016975.4465
1278,2004,"TOYOTA/ TOYOTA MOTOR CO., LTD.",ECHO,Automobile,GRY,,Sunday,Y,Bayshore,Ward 7 - Bay,Sector 14,7/16/2018 5:00:00 AM,7/15/2018 5:00:00 AM,2018,"WOODRIDGE CRES, BAYSHORE PS",West,5050138.00,Evening,Theresa Kavanagh,1100,2100,358787.8024,5023557.6934
1279,2001,"HONDA/AMERICAN HONDA MOTOR CO.,",,Automobile,SIL,,Tuesday,Y,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,Sector 16,7/16/2018 5:00:00 AM,6/26/2018 5:00:00 AM,2018,"BRAMBLING WAY, REGATTA AVE",West,5050141.25,Afternoon,David Hill,1200,1500,364662.02,5012494.5189
1280,,"HONDA/AMERICAN HONDA MOTOR CO.,",ACCORD,Automobile,GRY,,Monday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,7/16/2018 5:00:00 AM,7/16/2018 5:00:00 AM,2018,"TRENHOLM LANE, VARENNES BLVD",East,5050170.12,Morning,Matthew Luloff,1000,1000,385144.5573,5037769.2829
1281,2005,DODGE,DAKOTA,Truck,BLK,,Friday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,7/16/2018 5:00:00 AM,7/13/2018 5:00:00 AM,2018,"HERON RD, BAYCREST DR",East,5050007.02,Evening,Marty Carr,1200,2000,371146.2624,5026978.4056
1282,2012,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,SIL,,Tuesday,Y,Crestview - Meadowlands,Ward 8 - College,Sector 17,7/17/2018 5:00:00 AM,7/17/2018 5:00:00 AM,2018,"NAVAHO DR, NAVAHO DR",West,5050133.00,Afternoon,Laine Johnson,1300,1200,363180.746,5023928.5865
1283,2012,VOLKSWAGEN,JETTA,Automobile,BLK,,Wednesday,Y,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Sector 33,7/19/2018 5:00:00 AM,7/18/2018 5:00:00 AM,2018,"FREEDOM PRIV, FREEDOM PRIV N",East,5050011.04,Evening,Marty Carr,800,2100,370990.0535,5029242.1248
1284,2014,ISUZU,,Truck,WHI,,Tuesday,Y,Vars,Ward 19 - Orléans South-Navan,Sector 37,7/19/2018 5:00:00 AM,7/17/2018 5:00:00 AM,2018,"ROCKDALE RD, RUSSELL RD",East,5050171.03,Afternoon,Catherine Kitts,700,1700,393760.0443,5026971.4706
1285,,CATERPILLAR INC,,Other,,,Tuesday,Y,Laurentian,Ward 15 - Kitchissippi,Sector 14,7/19/2018 5:00:00 AM,7/17/2018 5:00:00 AM,2018,"BROADVIEW AVE, BYRON AVE",West,5050032.02,Afternoon,Jeff Leiper,700,1300,362696.0767,5027832.2835
1286,2014,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,WHI,,Friday,Y,Stittsville,Ward 6 - Stittsville,Sector 13,7/21/2018 5:00:00 AM,7/20/2018 5:00:00 AM,2018,"WILDERNESS WAY, WYTENBURG GT",West,5050151.11,Evening,Glen Gower,800,2200,348166.4909,5014596.5191
1287,,,,Trailer,BLK,,Saturday,Y,Manotick East,Ward 20 - Osgoode,Sector 36,7/21/2018 5:00:00 AM,7/21/2018 5:00:00 AM,2018,"LEWIS WAY, SUTHERLAND DR",East,5050191.02,Night,George Darouze,1100,100,372661.8983,5003222.3403
1288,2016,BUICK,VERANO,Automobile,BRN,,Saturday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,7/21/2018 5:00:00 AM,7/21/2018 5:00:00 AM,2018,"LYNX CRES, TEMPO ST N",East,5050170.12,Evening,Matthew Luloff,200,2100,385172.6883,5038446.3538
1289,2013,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CAMRY,Automobile,BLK,,Friday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,7/21/2018 5:00:00 AM,7/20/2018 5:00:00 AM,2018,"HONEYWOOD CRT, SUGAR MAPLE DR",East,5050126.05,Evening,Steve Desroches,900,2200,367948.7514,5015157.4044
1290,2015,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,BLK,,Saturday,Y,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,7/21/2018 5:00:00 AM,7/21/2018 5:00:00 AM,2018,"KANATA AVE, MACASSA CIRC",West,5050160.07,Night,Cathy Curry,700,0,350440.3285,5019501.0933
1291,2013,"INTERATIONAL INDUSTRIES, INC.",,Truck,WHI,57000,Saturday,Y,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Sector 33,7/22/2018 5:00:00 AM,7/21/2018 5:00:00 AM,2018,"RUSSELL RD, ST. LAURENT SERVICE RD",East,5050010.00,Evening,Marty Carr,1500,2100,373432.3099,5029357.7039
1292,2015,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,BLU,,Saturday,Y,Centretown,Ward 14 - Somerset,Sector 23,7/22/2018 5:00:00 AM,7/21/2018 5:00:00 AM,2018,"GILMOUR ST, PERCY ST",Central,5050040.00,Evening,Ariel Troster,1300,2300,367200.8972,5030421.5637
1293,2007,CADILLAC,,Suv,WHI,,Monday,N,Bayshore,Ward 7 - Bay,Sector 14,7/23/2018 5:00:00 AM,7/23/2018 5:00:00 AM,2018,"WOODRIDGE CRES, TRANSITWAY LINK",West,5050138.00,Morning,Theresa Kavanagh,1900,1000,358890.0021,5023214.2222
1294,2006,CHEVROLET,IMPALA,Automobile,SIL,,Monday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,7/23/2018 5:00:00 AM,7/23/2018 5:00:00 AM,2018,"AUGUSTA ST, RIDEAU ST",Central,5050053.00,Evening,Stéphanie Plante,200,2200,369013.003,5032716.2543
1295,2008,JEEP (1989 AND AFTER),WRANGLER,Suv,RED,8000,Monday,N,Navan - Carlsbad Springs,Ward 20 - Osgoode,Sector 37,7/23/2018 5:00:00 AM,7/23/2018 5:00:00 AM,2018,"CARLSBAD LANE, RUSSELL RD",East,5050171.03,Afternoon,George Darouze,1200,1200,388202.6716,5025627.1445
1296,2004,VOLVO,,Automobile,BLK,,Friday,N,Stittsville,Ward 6 - Stittsville,Sector 13,7/23/2018 5:00:00 AM,6/29/2018 5:00:00 AM,2018,"BRADLEY GREEN CRT, HAZELDEAN RD",West,5050151.05,Evening,Glen Gower,1300,2200,350397.7884,5015585.4377
1297,2005,CHEVROLET,OPTRA,Automobile,BRN,,Sunday,Y,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,7/23/2018 5:00:00 AM,7/22/2018 5:00:00 AM,2018,"MARY JANE CRES, SIMARD DR",East,5050125.08,Evening,Laura Dudas,1400,2300,381402.9429,5035010.5605
1298,2009,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,WHI,6000,Monday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,7/24/2018 5:00:00 AM,7/23/2018 5:00:00 AM,2018,"STONEHAM PLACE S, FAIRLAKES WAY",East,5050171.11,Evening,Catherine Kitts,1000,2100,384961.946,5034274.6817
1299,2017,FORD,F150,Truck,GRY,40000,Monday,Y,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,7/24/2018 5:00:00 AM,7/23/2018 5:00:00 AM,2018,"CRESTDALE ST, OAK MEADOWS DR",East,5050125.09,Afternoon,Laura Dudas,600,1600,380455.938,5035031.5656
1300,2008,CHEVROLET,COBALT,Automobile,GRY,,Monday,Y,Bells Corners West,Ward 8 - College,Sector 15,7/24/2018 5:00:00 AM,7/23/2018 5:00:00 AM,2018,"HADLEY CIRC, MOODIE DR",West,5050136.02,Evening,Laine Johnson,900,2000,357136.8466,5020299.4738
1301,2008,FORD,F350,Truck,BLK,,Tuesday,N,Russell - Edwards,Ward 20 - Osgoode,Sector 37,7/25/2018 5:00:00 AM,7/24/2018 5:00:00 AM,2018,"ROCKDALE RD S, HIGHWAY 417",East,5050182.00,Evening,George Darouze,1500,1800,395264.0669,5022270.4423
1302,2017,CHEVROLET,IMPALA,Automobile,RED,,Thursday,Y,Billings Bridge - Alta Vista,Ward 17 - Capital,Sector 34,7/26/2018 5:00:00 AM,4/12/2018 5:00:00 AM,2018,"BANK ST, BELANGER AVE, LAMIRA ST",East,5050004.00,Afternoon,Shawn Menard,1300,1200,369655.0707,5027427.1535
1303,2000,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,DGR,1500,Sunday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,7/26/2018 5:00:00 AM,7/15/2018 5:00:00 AM,2018,"BEAUSOLEIL DR, CHAPEL ST",Central,5050053.00,Evening,Stéphanie Plante,1700,2000,368824.9751,5032743.6562
1304,2003,FORD,ESCAPE,Automobile,GRY,,Thursday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,7/26/2018 5:00:00 AM,7/26/2018 5:00:00 AM,2018,"COBOURG ST, RIDEAU ST",Central,5050053.00,Afternoon,Stéphanie Plante,1600,1600,369129.839,5032785.185
1305,2016,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Automobile,WHI,,Wednesday,Y,Island Park,Ward 15 - Kitchissippi,Sector 21,7/26/2018 5:00:00 AM,7/25/2018 5:00:00 AM,2018,"BYRON AVE, HARMER AVE",Central,5050044.00,Evening,Jeff Leiper,900,2100,364863.8904,5028887.552
1306,2016,GENERAL MOTORS CORP.,SIERRA,Automobile,BLU,,Thursday,Y,Lindenlea - New Edinburgh,Ward 13 - Rideau-Rockcliffe,Sector 25,7/26/2018 5:00:00 AM,7/26/2018 5:00:00 AM,2018,"BERTRAND ST, VAUGHAN ST",Central,5050057.00,Afternoon,Rawlson King,1700,1500,369105.8977,5033770.5921
1307,,LEXUS,RX300,Suv,GRY,,Friday,Y,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,7/27/2018 5:00:00 AM,7/27/2018 5:00:00 AM,2018,"AUGUST LILY CRES,NORTH BLUFF DR",East,5050126.06,Morning,Steve Desroches,1600,900,369335.3264,5016503.7985
1308,2017,LEXUS,,Automobile,WHI,,Friday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,7/27/2018 5:00:00 AM,7/27/2018 5:00:00 AM,2018,"PERCY ST, SECOND AVE",Central,5050019.00,Night,Shawn Menard,100,100,367841.9008,5029351.5541
1309,2007,MAZDA,,Automobile,BLK,,Saturday,Y,Rockcliffe - Manor Park,Ward 13 - Rideau-Rockcliffe,Sector 25,7/28/2018 5:00:00 AM,7/28/2018 5:00:00 AM,2018,"GLASGOW CRES, GLASGOW ST",Central,5050059.00,Evening,Rawlson King,1800,1800,370995.9004,5034918.599
1310,2011,HYUNDAI,ELANTRA,Automobile,RED,,Friday,N,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,7/28/2018 5:00:00 AM,7/27/2018 5:00:00 AM,2018,"ERIC CRES S, RIDGEBROOK DR S",East,5050122.02,Evening,Tim Tierney,900,2300,374721.9228,5031959.5632
1311,2005,MERCEDES-BENZ,230 SERIES,Automobile,GRY,,Monday,Y,Emerald Woods - Sawmill Creek,Ward 10 - Gloucester-Southgate,Sector 35,7/30/2018 5:00:00 AM,7/30/2018 5:00:00 AM,2018,"ALBION RD, BRIDLE PATH DR",East,5050123.01,Night,Jessica Bradley,1100,200,372108.2381,5023736.3105
1312,2011,VOLKSWAGEN,JETTA,Automobile,WHI,,Monday,Y,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Sector 33,7/31/2018 5:00:00 AM,7/30/2018 5:00:00 AM,2018,"ARCH ST, CANTERBURY AVE",East,5050008.00,Evening,Marty Carr,1400,2300,372876.923,5028054.5379
1313,2005,SUZUKI/ COLT (MFD. BY SUZUKI MOTOR CORP.),,Suv,GRY,,Tuesday,Y,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Sector 35,7/31/2018 5:00:00 AM,7/17/2018 5:00:00 AM,2018,"AIRPORT PARKWAY PRIV, TRACKER PRIV",East,5050127.00,Afternoon,Jessica Bradley,1500,1700,370343.1152,5020748.3233
1314,2010,GENERAL MOTORS CORP.,SIERRA,Suv,WHI,,Monday,Y,Orléans Chatelaine Village,Ward 1 - Orléans East-Cumberland,Sector 31,7/31/2018 5:00:00 AM,7/30/2018 5:00:00 AM,2018,"JUNIPER ST, WILLOW AVE",East,5050170.01,Evening,Matthew Luloff,500,2300,381531.929,5039071.5927
1315,,SUBARU,IMPREZA,Automobile,BLU,,Monday,Y,Vanier North,Ward 12 - Rideau-Vanier,Sector 25,7/31/2018 5:00:00 AM,6/4/2018 5:00:00 AM,2018,"MONA AVE, MONTREAL RD",Central,5050102.00,Afternoon,Stéphanie Plante,1900,1200,370755.5704,5033432.4365
1316,2006,BMW,325I,Automobile,GRY,8000,Tuesday,N,Billings Bridge - Alta Vista,Ward 18 - Alta Vista,Sector 34,8/1/2018 5:00:00 AM,7/31/2018 5:00:00 AM,2018,"EVANS BLVD, RENFIELD RD",East,5050005.00,Evening,Marty Carr,800,2100,370178.9135,5026958.5333
1317,1991,BMW,325,Automobile,BLK,,Tuesday,N,West Centertown,Ward 14 - Somerset,Sector 22,8/1/2018 5:00:00 AM,7/31/2018 5:00:00 AM,2018,"BELL ST, GLADSTONE AVE",Central,5050042.00,Evening,Ariel Troster,800,2200,366949.6882,5029964.08
1318,2018,JEEP (1989 AND AFTER),CHEROKEE,Automobile,GRY,,Friday,Y,Trend-Arlington,Ward 9 - Knoxdale-Merivale,Sector 15,8/2/2018 5:00:00 AM,7/27/2018 5:00:00 AM,2018,"BANNER RD, PARKMOUNT CRES W",West,5050135.02,Evening,Sean Devine,1900,1900,360795.869,5021607.4876
1319,2009,,,Motorcycle,RED,,Thursday,N,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,8/2/2018 5:00:00 AM,8/2/2018 5:00:00 AM,2018,"CLARENCE ST, DALHOUSIE ST",Central,5050054.00,Evening,Stéphanie Plante,200,1900,368042.8971,5032502.5825
1320,2007,BMW,328I,Automobile,BLK,,Thursday,N,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Sector 35,8/3/2018 5:00:00 AM,8/2/2018 5:00:00 AM,2018,"FERNWOOD DR, PEBBLE RD",East,5050001.04,Evening,Jessica Bradley,200,2300,371318.7068,5024927.3942
1321,,JOHN DEERE/ DEERE AND COMPANY,,Other,GRN,,Friday,N,Vars,Ward 20 - Osgoode,Sector 37,8/3/2018 5:00:00 AM,8/3/2018 5:00:00 AM,2018,"DEVINE RD, DUNNING RD",East,5050171.03,Morning,George Darouze,1500,1000,397385.0798,5025070.4497
1322,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,BLK,,Friday,N,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Sector 33,8/4/2018 5:00:00 AM,8/3/2018 5:00:00 AM,2018,"BALHARRIE AVE, TAWNEY RD",East,5050010.00,Evening,Marty Carr,1100,2100,373686.1405,5028887.479
1323,2015,LEXUS,,Automobile,BLK,45000,Friday,N,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Sector 33,8/4/2018 5:00:00 AM,8/3/2018 5:00:00 AM,2018,"ST. LAURENT BLVD, CONNERY AVE",East,5050010.00,Morning,Marty Carr,700,1000,373632.3895,5028720.2819
1324,2000,VOLVO,S70,Automobile,BLK,,Friday,Y,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Sector 14,8/4/2018 5:00:00 AM,7/27/2018 5:00:00 AM,2018,"CRESTHILL ST, ROB ROY AVE",West,5050028.00,Night,Theresa Kavanagh,1500,0,360331.87,5024499.5121
1325,2018,LEXUS,,Suv,GRY,80000,Friday,N,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,8/4/2018 5:00:00 AM,8/3/2018 5:00:00 AM,2018,"MAXIME ST, RIDGEBROOK DR",East,5050122.02,Evening,Tim Tierney,800,2300,374668.9228,5031648.5613
1326,,LEXUS,,Automobile,GRY,,Friday,Y,Playfair Park - Lynda Park - Guildwood Estates,Ward 18 - Alta Vista,Sector 34,8/4/2018 5:00:00 AM,8/3/2018 5:00:00 AM,2018,"BRIAR HILL DR, FEATHERSTON DR",East,5050007.03,Evening,Marty Carr,800,2100,371453.9183,5027363.5351
1327,2013,MAZDA,,Automobile,WHI,10000,Saturday,Y,Orléans Queenswood Heights,Ward 1 - Orléans East-Cumberland,Sector 31,8/5/2018 5:00:00 AM,8/4/2018 5:00:00 AM,2018,"DEAVY WAY, TOMPKINS AVE",East,5050170.03,Evening,Matthew Luloff,600,2300,382975.9407,5037923.5751
1328,2011,"TOYOTA/ TOYOTA MOTOR CO., LTD.",VENZA,Van,GRY,,Monday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,8/6/2018 5:00:00 AM,8/6/2018 5:00:00 AM,2018,"DELRIDGE LANE, LANCASTER RD",East,5050011.01,Afternoon,Marty Carr,1400,1200,374290.7619,5029243.8818
1329,2017,LEXUS,,Automobile,BLU,50000,Monday,N,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Sector 33,8/6/2018 5:00:00 AM,8/6/2018 5:00:00 AM,2018,"CRANE ST, SAMUEL DR",East,5050008.00,Morning,Marty Carr,700,700,372972.9241,5027907.5371
1330,2016,LEXUS,,Suv,WHI,,Sunday,N,Ottawa South,Ward 17 - Capital,Sector 22,8/6/2018 5:00:00 AM,8/5/2018 5:00:00 AM,2018,"AVENUE RD, GLENCAIRN AVE",Central,5050016.00,Evening,Shawn Menard,900,1900,369249.9066,5029075.5511
1331,2018,LEXUS,,Suv,GRY,,Sunday,N,Ottawa South,Ward 17 - Capital,Sector 22,8/6/2018 5:00:00 AM,8/5/2018 5:00:00 AM,2018,"AVENUE RD, GLENCAIRN AVE",Central,5050016.00,Evening,Shawn Menard,900,1900,369249.9066,5029075.5511
1332,2013,DODGE,JOURNEY,Automobile,GRY,,Monday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,8/7/2018 5:00:00 AM,8/6/2018 5:00:00 AM,2018,"BAYCREST DR, CEDARWOOD DR",East,5050007.02,Evening,Marty Carr,0,2100,371229.9182,5026788.5314
1333,,,,Motorcycle,BLK,2500,Tuesday,N,Cummings,Ward 11 - Beacon Hill-Cyrville,Sector 32,8/7/2018 5:00:00 AM,8/7/2018 5:00:00 AM,2018,"CITY PARK DR, 170M SOUTH OF OGILVIE RD",East,5050122.03,Afternoon,Tim Tierney,1700,1400,374262.742,5032848.9805
